Song,Date,Number of Plays
forth,2022-09-22,1573
third,2022-09-27,1554
first,2022-09-20,699
forth,2022-09-27,350
last,2022-09-22,1794
third,2022-09-27,207
forth,2022-09-21,411
last,2022-09-21,147
forth,2022-09-18,122
second,2022-09-22,1469
forth,2022-09-25,1474
first,2022-09-20,5
last,2022-09-19,615
last,2022-09-19,1279
first,2022-09-19,887
third,2022-09-27,1530
last,2022-09-25,146
third,2022-09-21,1266
third,2022-09-19,610
third,2022-09-18,922
last,2022-09-22,429
third,2022-09-26,1592
second,2022-09-20,5
forth,2022-09-27,587
forth,2022-09-24,1455
first,2022-09-27,431
third,2022-09-18,1158
forth,2022-09-21,586
second,2022-09-19,1612
second,2022-09-24,125
first,2022-09-21,1278
second,2022-09-25,23
forth,2022-09-24,1729
last,2022-09-19,910
third,2022-09-19,760
first,2022-09-20,125
last,2022-09-19,1823
third,2022-09-20,781
forth,2022-09-20,1406
forth,2022-09-21,330
last,2022-09-23,927
third,2022-09-20,1839
last,2022-09-20,955
first,2022-09-27,348
first,2022-09-19,1470
third,2022-09-20,258
third,2022-09-18,383
third,2022-09-19,1885
third,2022-09-21,1387
second,2022-09-21,1468
second,2022-09-22,1188
forth,2022-09-20,33
third,2022-09-20,596
first,2022-09-23,823
third,2022-09-19,1270
second,2022-09-24,944
first,2022-09-24,1215
third,2022-09-22,71
first,2022-09-21,1675
third,2022-09-23,775
second,2022-09-26,948
forth,2022-09-26,1490
third,2022-09-20,767
second,2022-09-23,841
last,2022-09-23,129
first,2022-09-19,350
last,2022-09-21,988
third,2022-09-27,678
last,2022-09-25,1314
third,2022-09-26,1475
second,2022-09-21,1866
third,2022-09-23,1461
second,2022-09-21,672
last,2022-09-27,1604
third,2022-09-23,1175
first,2022-09-23,758
last,2022-09-24,877
forth,2022-09-23,1803
forth,2022-09-23,1427
third,2022-09-26,1596
last,2022-09-27,1597
forth,2022-09-18,516
last,2022-09-19,522
third,2022-09-23,1081
last,2022-09-24,868
first,2022-09-20,726
forth,2022-09-27,721
first,2022-09-19,977
forth,2022-09-26,1713
forth,2022-09-23,4
first,2022-09-24,611
last,2022-09-23,1016
third,2022-09-21,1747
second,2022-09-23,1818
third,2022-09-25,1083
second,2022-09-19,1863
forth,2022-09-21,390
third,2022-09-21,1919
second,2022-09-25,915
forth,2022-09-23,864
second,2022-09-26,1796
first,2022-09-22,66
third,2022-09-23,454
first,2022-09-26,1369
last,2022-09-20,872
first,2022-09-20,814
forth,2022-09-20,1873
last,2022-09-27,121
first,2022-09-24,1801
first,2022-09-21,155
first,2022-09-26,1187
forth,2022-09-25,511
third,2022-09-20,563
first,2022-09-24,1088
first,2022-09-27,1081
forth,2022-09-21,1719
forth,2022-09-26,1915
third,2022-09-25,1471
forth,2022-09-20,817
second,2022-09-19,1676
forth,2022-09-18,1643
second,2022-09-27,270
first,2022-09-21,937
third,2022-09-22,509
last,2022-09-18,1728
second,2022-09-27,1459
third,2022-09-18,495
first,2022-09-20,276
first,2022-09-27,1164
second,2022-09-20,592
second,2022-09-27,1162
forth,2022-09-19,1685
forth,2022-09-21,743
second,2022-09-18,1345
first,2022-09-18,1844
third,2022-09-24,323
second,2022-09-19,1532
forth,2022-09-20,1982
forth,2022-09-19,1585
forth,2022-09-22,530
first,2022-09-26,539
third,2022-09-19,335
second,2022-09-21,1441
second,2022-09-23,1790
forth,2022-09-27,1342
last,2022-09-19,563
first,2022-09-20,1675
third,2022-09-26,1881
third,2022-09-20,120
first,2022-09-24,175
second,2022-09-25,1627
forth,2022-09-21,544
third,2022-09-21,1720
third,2022-09-21,1454
last,2022-09-18,1137
second,2022-09-21,1052
third,2022-09-23,332
second,2022-09-27,412
third,2022-09-20,1256
first,2022-09-24,1693
third,2022-09-22,1387
second,2022-09-27,1827
first,2022-09-25,1064
second,2022-09-24,472
third,2022-09-23,1016
third,2022-09-20,468
second,2022-09-22,827
forth,2022-09-24,520
second,2022-09-24,894
forth,2022-09-22,676
forth,2022-09-19,1211
second,2022-09-25,782
forth,2022-09-27,1813
forth,2022-09-20,124
last,2022-09-20,1261
second,2022-09-19,698
last,2022-09-21,511
last,2022-09-23,126
third,2022-09-27,1849
forth,2022-09-24,1451
third,2022-09-24,1317
first,2022-09-22,1617
second,2022-09-24,1517
last,2022-09-25,582
second,2022-09-26,278
forth,2022-09-21,1315
third,2022-09-18,79
last,2022-09-26,729
second,2022-09-19,218
second,2022-09-27,45
second,2022-09-25,1982
forth,2022-09-18,403
forth,2022-09-24,1745
second,2022-09-19,361
forth,2022-09-19,1239
forth,2022-09-26,67
third,2022-09-24,1157
third,2022-09-24,384
third,2022-09-18,1638
first,2022-09-23,658
second,2022-09-19,1030
forth,2022-09-26,1882
forth,2022-09-26,1231
third,2022-09-27,693
forth,2022-09-23,891
second,2022-09-23,1033
first,2022-09-24,579
forth,2022-09-21,1927
first,2022-09-23,66
third,2022-09-24,245
last,2022-09-21,427
second,2022-09-21,206
forth,2022-09-24,686
first,2022-09-18,1838
first,2022-09-25,1442
forth,2022-09-18,208
third,2022-09-22,1691
last,2022-09-26,1834
third,2022-09-22,343
forth,2022-09-24,417
first,2022-09-22,959
first,2022-09-27,103
forth,2022-09-21,213
second,2022-09-25,332
forth,2022-09-25,1696
forth,2022-09-20,1345
third,2022-09-19,51
third,2022-09-19,1127
first,2022-09-19,163
second,2022-09-21,774
first,2022-09-21,1388
second,2022-09-26,0
last,2022-09-26,881
forth,2022-09-22,1626
third,2022-09-21,1478
first,2022-09-22,1165
second,2022-09-18,76
third,2022-09-20,1102
first,2022-09-22,1317
third,2022-09-21,424
first,2022-09-24,1252
last,2022-09-19,790
second,2022-09-19,57
first,2022-09-19,420
second,2022-09-22,1328
last,2022-09-27,1997
third,2022-09-27,169
third,2022-09-26,1527
last,2022-09-21,977
forth,2022-09-18,532
last,2022-09-24,676
second,2022-09-24,1505
first,2022-09-22,940
third,2022-09-19,216
second,2022-09-27,428
forth,2022-09-21,1658
third,2022-09-22,1230
last,2022-09-19,799
last,2022-09-26,380
first,2022-09-26,1405
first,2022-09-19,1867
first,2022-09-22,1506
forth,2022-09-27,446
forth,2022-09-27,1602
third,2022-09-19,1866
first,2022-09-26,1811
forth,2022-09-24,857
last,2022-09-22,325
last,2022-09-22,167
third,2022-09-21,765
forth,2022-09-23,377
forth,2022-09-20,481
forth,2022-09-21,895
second,2022-09-22,197
third,2022-09-22,1133
first,2022-09-20,1915
second,2022-09-27,1201
forth,2022-09-19,483
second,2022-09-20,1471
first,2022-09-24,1974
forth,2022-09-23,285
second,2022-09-24,1696
third,2022-09-26,1152
forth,2022-09-26,1868
first,2022-09-23,59
first,2022-09-20,220
forth,2022-09-19,83
second,2022-09-18,1292
forth,2022-09-21,1092
second,2022-09-25,736
forth,2022-09-27,1253
second,2022-09-18,1007
second,2022-09-19,1323
last,2022-09-22,790
forth,2022-09-25,1299
last,2022-09-26,290
last,2022-09-23,1020
third,2022-09-20,1017
third,2022-09-21,1907
second,2022-09-26,1295
forth,2022-09-24,1438
first,2022-09-19,902
last,2022-09-23,1694
forth,2022-09-23,842
third,2022-09-20,637
forth,2022-09-23,219
forth,2022-09-26,1100
last,2022-09-18,230
second,2022-09-21,382
last,2022-09-18,1051
first,2022-09-23,1987
third,2022-09-26,279
third,2022-09-20,992
first,2022-09-25,1918
second,2022-09-20,460
forth,2022-09-26,1742
first,2022-09-25,652
first,2022-09-25,916
third,2022-09-18,1784
forth,2022-09-27,1436
third,2022-09-18,1938
third,2022-09-22,1746
third,2022-09-23,66
second,2022-09-19,495
second,2022-09-25,380
third,2022-09-27,1843
last,2022-09-19,670
last,2022-09-21,2
third,2022-09-27,48
second,2022-09-18,960
third,2022-09-20,603
first,2022-09-26,113
first,2022-09-19,1643
third,2022-09-24,789
forth,2022-09-22,737
first,2022-09-18,507
third,2022-09-22,840
third,2022-09-23,19
third,2022-09-20,1275
second,2022-09-20,678
forth,2022-09-19,1099
third,2022-09-22,998
second,2022-09-26,979
forth,2022-09-22,1218
forth,2022-09-25,1400
last,2022-09-18,315
forth,2022-09-26,814
first,2022-09-26,481
first,2022-09-25,240
third,2022-09-19,1900
first,2022-09-23,308
last,2022-09-23,49
third,2022-09-27,546
third,2022-09-27,1144
first,2022-09-21,1250
last,2022-09-24,272
third,2022-09-23,1286
second,2022-09-26,330
last,2022-09-27,1198
third,2022-09-24,1989
forth,2022-09-22,408
last,2022-09-24,1852
first,2022-09-25,1625
third,2022-09-24,1296
last,2022-09-25,59
third,2022-09-22,1790
third,2022-09-24,399
second,2022-09-18,1841
forth,2022-09-25,226
second,2022-09-20,153
last,2022-09-21,848
first,2022-09-26,1464
first,2022-09-23,1153
last,2022-09-27,126
forth,2022-09-24,686
second,2022-09-25,1123
first,2022-09-26,904
forth,2022-09-23,348
last,2022-09-27,480
first,2022-09-27,1400
last,2022-09-19,1358
second,2022-09-26,1644
second,2022-09-26,892
last,2022-09-24,660
forth,2022-09-24,1489
forth,2022-09-24,1311
third,2022-09-22,1592
third,2022-09-18,1573
third,2022-09-22,628
second,2022-09-25,1991
second,2022-09-25,1697
third,2022-09-20,1984
last,2022-09-25,1325
third,2022-09-22,1676
last,2022-09-19,1638
last,2022-09-25,1978
third,2022-09-19,292
second,2022-09-26,1526
third,2022-09-20,1365
second,2022-09-22,311
forth,2022-09-25,177
first,2022-09-25,1049
first,2022-09-18,1782
last,2022-09-21,448
second,2022-09-19,133
forth,2022-09-18,1477
forth,2022-09-18,1317
third,2022-09-21,1221
last,2022-09-25,475
forth,2022-09-26,58
forth,2022-09-27,1398
last,2022-09-22,1090
first,2022-09-19,1970
forth,2022-09-22,317
forth,2022-09-24,1424
third,2022-09-25,1653
forth,2022-09-18,1979
third,2022-09-24,1277
forth,2022-09-22,835
last,2022-09-18,1834
second,2022-09-27,178
third,2022-09-25,1966
first,2022-09-27,1923
forth,2022-09-25,1063
second,2022-09-18,947
third,2022-09-19,1922
third,2022-09-22,218
forth,2022-09-20,1295
third,2022-09-27,1595
third,2022-09-26,1377
second,2022-09-24,270
last,2022-09-19,65
third,2022-09-20,386
forth,2022-09-18,1367
second,2022-09-27,726
forth,2022-09-24,942
third,2022-09-25,1687
third,2022-09-24,1564
third,2022-09-27,250
third,2022-09-23,456
third,2022-09-18,816
first,2022-09-21,1333
second,2022-09-26,798
first,2022-09-24,452
third,2022-09-19,461
forth,2022-09-24,215
forth,2022-09-26,1826
third,2022-09-25,1149
second,2022-09-26,1725
first,2022-09-27,1102
forth,2022-09-26,1021
last,2022-09-24,1482
third,2022-09-21,278
third,2022-09-23,1723
second,2022-09-21,1008
last,2022-09-27,1331
second,2022-09-23,249
forth,2022-09-18,1738
forth,2022-09-21,1319
forth,2022-09-22,237
third,2022-09-26,972
third,2022-09-18,1176
first,2022-09-19,484
second,2022-09-24,842
first,2022-09-25,582
forth,2022-09-25,1894
first,2022-09-20,666
third,2022-09-21,1836
second,2022-09-22,667
third,2022-09-25,1893
second,2022-09-26,699
second,2022-09-25,377
second,2022-09-26,406
third,2022-09-23,1759
first,2022-09-25,532
last,2022-09-22,796
last,2022-09-18,67
first,2022-09-23,1458
last,2022-09-24,1178
third,2022-09-25,1422
last,2022-09-26,1717
third,2022-09-23,1639
first,2022-09-20,514
last,2022-09-18,1694
second,2022-09-18,544
last,2022-09-20,911
third,2022-09-21,1439
third,2022-09-21,728
forth,2022-09-18,1326
second,2022-09-27,696
forth,2022-09-18,1707
last,2022-09-27,844
forth,2022-09-24,428
forth,2022-09-18,511
third,2022-09-18,255
first,2022-09-22,640
last,2022-09-22,1696
third,2022-09-18,54
second,2022-09-20,1103
third,2022-09-19,1637
second,2022-09-19,1500
first,2022-09-21,1596
forth,2022-09-23,1297
first,2022-09-19,1141
third,2022-09-25,1687
first,2022-09-24,1023
third,2022-09-19,1422
forth,2022-09-20,1423
third,2022-09-19,514
forth,2022-09-20,1040
second,2022-09-22,194
second,2022-09-19,1847
first,2022-09-27,140
second,2022-09-21,1079
last,2022-09-26,600
third,2022-09-25,1659
last,2022-09-25,1535
first,2022-09-18,1853
third,2022-09-20,1265
first,2022-09-23,1207
first,2022-09-26,31
third,2022-09-18,924
second,2022-09-20,1713
forth,2022-09-27,789
last,2022-09-27,1281
first,2022-09-20,299
last,2022-09-21,1679
last,2022-09-18,1216
last,2022-09-20,1879
second,2022-09-20,795
third,2022-09-19,1001
last,2022-09-27,986
forth,2022-09-21,1196
second,2022-09-22,843
forth,2022-09-21,1053
forth,2022-09-27,1076
last,2022-09-19,1516
second,2022-09-21,370
second,2022-09-20,129
first,2022-09-22,160
second,2022-09-26,209
last,2022-09-22,212
last,2022-09-22,1248
second,2022-09-24,1713
third,2022-09-22,651
last,2022-09-27,180
last,2022-09-19,111
second,2022-09-26,679
last,2022-09-20,1930
third,2022-09-25,1774
second,2022-09-23,1985
forth,2022-09-23,348
first,2022-09-20,697
third,2022-09-18,176
second,2022-09-25,1139
second,2022-09-23,919
first,2022-09-23,708
first,2022-09-21,1239
third,2022-09-25,1822
second,2022-09-18,764
forth,2022-09-23,674
first,2022-09-22,1340
last,2022-09-23,855
forth,2022-09-22,1634
first,2022-09-25,1171
first,2022-09-23,537
forth,2022-09-25,1740
last,2022-09-20,128
last,2022-09-19,1386
first,2022-09-26,629
forth,2022-09-19,152
last,2022-09-26,1823
forth,2022-09-20,906
second,2022-09-26,820
forth,2022-09-18,1970
third,2022-09-23,738
forth,2022-09-23,1006
third,2022-09-25,660
second,2022-09-18,829
third,2022-09-22,301
last,2022-09-24,753
last,2022-09-21,1657
forth,2022-09-24,1469
last,2022-09-24,265
forth,2022-09-23,1443
forth,2022-09-22,1364
third,2022-09-25,1321
second,2022-09-25,44
third,2022-09-23,1527
second,2022-09-22,887
first,2022-09-22,1273
first,2022-09-18,672
forth,2022-09-24,1581
third,2022-09-19,1017
forth,2022-09-21,510
first,2022-09-19,851
first,2022-09-22,314
second,2022-09-27,711
first,2022-09-27,916
last,2022-09-24,1616
last,2022-09-27,1117
first,2022-09-25,1784
second,2022-09-21,492
forth,2022-09-23,1693
forth,2022-09-20,1031
second,2022-09-21,1689
second,2022-09-19,350
forth,2022-09-24,1607
forth,2022-09-27,1436
third,2022-09-21,535
forth,2022-09-24,557
forth,2022-09-21,583
forth,2022-09-25,1356
third,2022-09-24,118
third,2022-09-23,1000
third,2022-09-27,1363
last,2022-09-21,1360
third,2022-09-23,1002
third,2022-09-22,419
second,2022-09-27,128
first,2022-09-24,1574
last,2022-09-24,1450
second,2022-09-24,869
last,2022-09-18,464
last,2022-09-23,1336
second,2022-09-23,1927
first,2022-09-27,1026
last,2022-09-21,137
first,2022-09-20,1508
third,2022-09-23,987
second,2022-09-22,703
first,2022-09-23,717
third,2022-09-18,1692
second,2022-09-20,249
second,2022-09-25,1073
first,2022-09-20,232
third,2022-09-25,922
third,2022-09-27,353
second,2022-09-19,800
third,2022-09-19,1614
third,2022-09-24,1318
second,2022-09-27,1406
third,2022-09-26,133
forth,2022-09-20,349
first,2022-09-25,1418
forth,2022-09-26,716
second,2022-09-20,898
first,2022-09-25,1990
second,2022-09-20,1754
second,2022-09-24,450
second,2022-09-24,523
first,2022-09-19,875
forth,2022-09-19,69
last,2022-09-23,1907
forth,2022-09-25,1674
second,2022-09-25,1456
last,2022-09-23,1918
second,2022-09-18,1936
forth,2022-09-25,968
second,2022-09-21,816
first,2022-09-27,1353
first,2022-09-21,1576
first,2022-09-22,1105
second,2022-09-25,1093
last,2022-09-19,777
second,2022-09-27,1246
last,2022-09-18,1118
second,2022-09-24,778
first,2022-09-23,907
first,2022-09-27,1883
second,2022-09-26,1623
forth,2022-09-19,1737
second,2022-09-22,1344
second,2022-09-25,1677
third,2022-09-20,571
third,2022-09-18,391
second,2022-09-26,1264
forth,2022-09-22,1056
first,2022-09-18,150
last,2022-09-24,1068
last,2022-09-19,146
third,2022-09-21,1513
second,2022-09-19,1731
first,2022-09-26,79
last,2022-09-26,1494
second,2022-09-26,144
first,2022-09-19,1525
second,2022-09-26,1804
forth,2022-09-25,332
second,2022-09-19,1060
first,2022-09-23,1425
first,2022-09-21,1625
first,2022-09-22,1891
second,2022-09-25,184
last,2022-09-19,135
third,2022-09-27,230
first,2022-09-22,1270
second,2022-09-25,1663
last,2022-09-19,1050
first,2022-09-24,1504
forth,2022-09-27,977
first,2022-09-25,1334
second,2022-09-26,217
forth,2022-09-19,1120
last,2022-09-23,999
third,2022-09-23,1899
forth,2022-09-26,732
second,2022-09-19,968
second,2022-09-20,1572
forth,2022-09-26,1104
second,2022-09-25,363
first,2022-09-26,381
first,2022-09-18,767
forth,2022-09-22,738
first,2022-09-21,71
second,2022-09-24,725
last,2022-09-18,1448
first,2022-09-24,72
second,2022-09-18,1069
third,2022-09-18,1782
third,2022-09-25,118
third,2022-09-23,115
last,2022-09-20,1276
forth,2022-09-25,841
forth,2022-09-23,439
last,2022-09-26,744
third,2022-09-21,1645
first,2022-09-26,279
last,2022-09-18,400
first,2022-09-25,248
last,2022-09-24,1860
forth,2022-09-19,1098
third,2022-09-19,1437
third,2022-09-18,1118
forth,2022-09-27,691
third,2022-09-20,616
forth,2022-09-20,459
second,2022-09-26,1937
first,2022-09-20,1119
forth,2022-09-25,1717
forth,2022-09-25,652
forth,2022-09-24,1295
third,2022-09-21,1608
second,2022-09-27,236
first,2022-09-25,1568
third,2022-09-25,677
third,2022-09-21,1935
last,2022-09-26,1443
last,2022-09-21,927
forth,2022-09-24,1153
forth,2022-09-22,1856
first,2022-09-23,1466
forth,2022-09-27,1031
second,2022-09-19,65
third,2022-09-25,217
third,2022-09-19,196
forth,2022-09-18,1312
forth,2022-09-22,134
third,2022-09-20,116
last,2022-09-21,863
first,2022-09-25,1102
last,2022-09-24,1581
first,2022-09-27,1729
forth,2022-09-20,1629
first,2022-09-20,690
last,2022-09-24,1707
last,2022-09-20,1024
third,2022-09-21,921
second,2022-09-27,1282
forth,2022-09-27,1606
second,2022-09-23,1842
last,2022-09-20,63
second,2022-09-23,1622
third,2022-09-27,212
first,2022-09-27,556
first,2022-09-26,1240
second,2022-09-21,669
first,2022-09-20,1734
second,2022-09-20,568
first,2022-09-26,1577
forth,2022-09-23,27
last,2022-09-26,448
forth,2022-09-21,1725
second,2022-09-18,1365
forth,2022-09-19,754
forth,2022-09-25,1967
second,2022-09-23,1219
first,2022-09-22,1683
forth,2022-09-27,61
third,2022-09-23,169
third,2022-09-25,1390
second,2022-09-24,1838
first,2022-09-26,1304
third,2022-09-18,316
forth,2022-09-24,558
second,2022-09-21,1781
last,2022-09-22,1819
third,2022-09-25,1422
forth,2022-09-25,1966
last,2022-09-27,2
first,2022-09-18,1247
forth,2022-09-20,141
third,2022-09-27,1964
last,2022-09-24,1980
second,2022-09-24,1445
third,2022-09-25,998
third,2022-09-27,760
last,2022-09-27,1910
second,2022-09-25,980
first,2022-09-23,1208
second,2022-09-25,710
second,2022-09-26,1655
